"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress"
"audio-button-response","10","2384451","0.0-3.0-1.0-1.0-1.1","2","1","q4qs86cjwweeet5","","4416","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","2385207","0.0-3.0-1.0-1.0-0.2","2","1","q4qs86cjwweeet5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","2389576","0.0-3.0-1.0-1.0-1.2","2","1","q4qs86cjwweeet5","","4368","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","2390334","0.0-3.0-1.0-1.0-0.3","2","1","q4qs86cjwweeet5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","2394919","0.0-3.0-1.0-1.0-1.3","2","1","q4qs86cjwweeet5","","4581","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2395681","0.0-3.0-1.0-1.0-0.4","2","1","q4qs86cjwweeet5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","2399983","0.0-3.0-1.0-1.0-1.4","2","1","q4qs86cjwweeet5","","4299","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2400743","0.0-3.0-1.0-1.0-0.5","2","1","q4qs86cjwweeet5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","2405074","0.0-3.0-1.0-1.0-1.5","2","1","q4qs86cjwweeet5","","4325","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","",""
"html-button-response","19","2406885","0.0-3.0-2.0","2","1","q4qs86cjwweeet5","","1555.9000000059605","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","2419778","0.0-4.0-0.0","2","1","q4qs86cjwweeet5","[{""page_index"":0,""viewing_time"":1368.7000000178814},{""page_index"":1,""viewing_time"":9293.40000000596},{""page_index"":2,""viewing_time"":2227.5999999940395}]","12891.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","2420079","0.0-4.0-1.0-0.0","2","1","q4qs86cjwweeet5","","null","","sounds/induction/right/ko_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","2423048","0.0-4.0-1.0-1.0","2","1","q4qs86cjwweeet5","","2966.800000011921","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","2424051","0.0-4.0-1.0-2.0","2","1","q4qs86cjwweeet5","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","2424858","0.0-4.0-1.0-0.1","2","1","q4qs86cjwweeet5","","null","","sounds/induction/right/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","2426671","0.0-4.0-1.0-1.1","2","1","q4qs86cjwweeet5","","1811.300000011921","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","2427675","0.0-4.0-1.0-2.1","2","1","q4qs86cjwweeet5","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","2428484","0.0-4.0-1.0-0.2","2","1","q4qs86cjwweeet5","","null","","sounds/induction/right/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","2430865","0.0-4.0-1.0-1.2","2","1","q4qs86cjwweeet5","","2378.9000000059605","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","2431867","0.0-4.0-1.0-2.2","2","1","q4qs86cjwweeet5","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","30","2432676","0.0-4.0-1.0-0.3","2","1","q4qs86cjwweeet5","","null","","sounds/induction/right/ru_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","31","2433811","0.0-4.0-1.0-1.3","2","1","q4qs86cjwweeet5","","1132.800000011921","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","2434818","0.0-4.0-1.0-2.3","2","1","q4qs86cjwweeet5","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","33","2435621","0.0-4.0-1.0-0.4","2","1","q4qs86cjwweeet5","","null","","sounds/induction/right/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","34","2439001","0.0-4.0-1.0-1.4","2","1","q4qs86cjwweeet5","","3378.699999988079","","What sound did you hear?","0","","","0","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","2440008","0.0-4.0-1.0-2.4","2","1","q4qs86cjwweeet5","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","36","2440815","0.0-4.0-1.0-0.5","2","1","q4qs86cjwweeet5","","null","","sounds/induction/left/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","37","2442027","0.0-4.0-1.0-1.5","2","1","q4qs86cjwweeet5","","1209.0999999940395","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","2443031","0.0-4.0-1.0-2.5","2","1","q4qs86cjwweeet5","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","39","2443834","0.0-4.0-1.0-0.6","2","1","q4qs86cjwweeet5","","null","","sounds/induction/right/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","40","2445113","0.0-4.0-1.0-1.6","2","1","q4qs86cjwweeet5","","1277.699999988079","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","",""
"html-keyboard-response","41","2446119","0.0-4.0-1.0-2.6","2","1","q4qs86cjwweeet5","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","42","2446927","0.0-4.0-1.0-0.7","2","1","q4qs86cjwweeet5","","null","","sounds/induction/right/ta_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","43","2448224","0.0-4.0-1.0-1.7","2","1","q4qs86cjwweeet5","","1295.4000000059605","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","",""
"html-keyboard-response","44","2449230","0.0-4.0-1.0-2.7","2","1","q4qs86cjwweeet5","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","45","2450036","0.0-4.0-1.0-0.8","2","1","q4qs86cjwweeet5","","null","","sounds/induction/left/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","46","2451093","0.0-4.0-1.0-1.8","2","1","q4qs86cjwweeet5","","1055.0999999940395","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","2452100","0.0-4.0-1.0-2.8","2","1","q4qs86cjwweeet5","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","48","2452906","0.0-4.0-1.0-0.9","2","1","q4qs86cjwweeet5","","null","","sounds/induction/left/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
