"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer"
"audio-keyboard-response","69","1570105","0.0-4.0-1.0-0.16","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/re_SWS.wav","","null","","","","",""
"html-button-response","70","1570531","0.0-4.0-1.0-1.16","1","0","hvcwomzzob0x9rq","","421.7999999523163","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","71","1571534","0.0-4.0-1.0-2.16","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","72","1572340","0.0-4.0-1.0-0.17","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/fu_SWS.wav","","null","","","","",""
"html-button-response","73","1573563","0.0-4.0-1.0-1.17","1","0","hvcwomzzob0x9rq","","1221.6000000238419","","Was the sound coming from the left or the right?","0","","","0","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","74","1574568","0.0-4.0-1.0-2.17","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#690000;""><b>Incorrect!</b></p>","","null","","","","",""
"audio-keyboard-response","75","1575369","0.0-4.0-1.0-0.18","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/pu_SWS.wav","","null","","","","",""
"html-button-response","76","1575993","0.0-4.0-1.0-1.18","1","0","hvcwomzzob0x9rq","","623.1000000238419","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","77","1577000","0.0-4.0-1.0-2.18","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","78","1577801","0.0-4.0-1.0-0.19","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/me_SWS.wav","","null","","","","",""
"html-button-response","79","1578164","0.0-4.0-1.0-1.19","1","0","hvcwomzzob0x9rq","","360.89999997615814","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","80","1579169","0.0-4.0-1.0-2.19","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","81","1579972","0.0-4.0-1.0-0.20","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/fe_SWS.wav","","null","","","","",""
"html-button-response","82","1580796","0.0-4.0-1.0-1.20","1","0","hvcwomzzob0x9rq","","822","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","83","1581800","0.0-4.0-1.0-2.20","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","84","1582601","0.0-4.0-1.0-0.21","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/ni_SWS.wav","","null","","","","",""
"html-button-response","85","1583219","0.0-4.0-1.0-1.21","1","0","hvcwomzzob0x9rq","","616.8000000715256","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","86","1584222","0.0-4.0-1.0-2.21","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","87","1585027","0.0-4.0-1.0-0.22","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/me_SWS.wav","","null","","","","",""
"html-button-response","88","1585382","0.0-4.0-1.0-1.22","1","0","hvcwomzzob0x9rq","","353.2000000476837","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
